LineId,Type,Timestamp,pid,uid,auid,ses,msg,acct,exe,hostname,addr,terminal,res,old-auid,tty,old-ses,comm,apparmor,operation,profile,name,arch,syscall,success,exit,a0,a1,a2,a3,items,ppid,gid,euid,suid,fsuid,egid,sgid,fsgid,key,proctitle
1,USER_ACCT,2022-01-21 00:17:01,1716,0,4294967295,4294967295,op=PAM:accounting,root,"""/usr/sbin/cron""",?,?,cron,success,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,CRED_ACQ,2022-01-21 00:17:01,1716,0,4294967295,4294967295,op=PAM:setcred,root,"""/usr/sbin/cron""",?,?,cron,success,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,LOGIN,2022-01-21 00:17:01,1716,0,0,36,,,,,,,1,4294967295,(none),4294967295,,,,,,,,,,,,,,,,,,,,,,,,
4,USER_START,2022-01-21 00:17:01,1716,0,0,36,op=PAM:session_open,root,"""/usr/sbin/cron""",?,?,cron,success,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,CRED_DISP,2022-01-21 00:17:01,1716,0,0,36,op=PAM:setcred,root,"""/usr/sbin/cron""",?,?,cron,success,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,USER_END,2022-01-21 00:17:01,1716,0,0,36,op=PAM:session_close,root,"""/usr/sbin/cron""",?,?,cron,success,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,SERVICE_START,2022-01-21 00:18:36,1,0,4294967295,4294967295,unit=apt-daily,,"""/lib/systemd/systemd""",?,?,?,success,,,,"""systemd""",,,,,,,,,,,,,,,,,,,,,,,
8,SERVICE_STOP,2022-01-21 00:18:36,1,0,4294967295,4294967295,unit=apt-daily,,"""/lib/systemd/systemd""",?,?,?,success,,,,"""systemd""",,,,,,,,,,,,,,,,,,,,,,,
9,USER_ACCT,2022-01-21 01:17:02,4462,0,4294967295,4294967295,op=PAM:accounting,root,"""/usr/sbin/cron""",?,?,cron,success,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,CRED_ACQ,2022-01-21 01:17:02,4462,0,4294967295,4294967295,op=PAM:setcred,root,"""/usr/sbin/cron""",?,?,cron,success,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,LOGIN,2022-01-21 01:17:02,4462,0,0,37,,,,,,,1,4294967295,(none),4294967295,,,,,,,,,,,,,,,,,,,,,,,,
12,USER_START,2022-01-21 01:17:02,4462,0,0,37,op=PAM:session_open,root,"""/usr/sbin/cron""",?,?,cron,success,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,CRED_DISP,2022-01-21 01:17:02,4462,0,0,37,op=PAM:setcred,root,"""/usr/sbin/cron""",?,?,cron,success,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,USER_END,2022-01-21 01:17:02,4462,0,0,37,op=PAM:session_close,root,"""/usr/sbin/cron""",?,?,cron,success,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,USER_ACCT,2022-01-21 02:17:02,7159,0,4294967295,4294967295,op=PAM:accounting,root,"""/usr/sbin/cron""",?,?,cron,success,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,CRED_ACQ,2022-01-21 02:17:02,7159,0,4294967295,4294967295,op=PAM:setcred,root,"""/usr/sbin/cron""",?,?,cron,success,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,LOGIN,2022-01-21 02:17:02,7159,0,0,38,,,,,,,1,4294967295,(none),4294967295,,,,,,,,,,,,,,,,,,,,,,,,
