LineId,Type,Timestamp,Content,EventId,EventTemplate,ParameterList
1,USER_ACCT,(1642724221.475:149),"pid=1716 uid=0 auid=4294967295 ses=4294967295 msg='op=PAM:accounting acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'",97f26892,"<*> uid=0 <*> <*> <*> acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'","['pid=1716', 'auid=4294967295', ""ses=4294967295 msg='op=PAM:accounting""]"
2,CRED_ACQ,(1642724221.479:150),"pid=1716 uid=0 auid=4294967295 ses=4294967295 msg='op=PAM:setcred acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'",97f26892,"<*> uid=0 <*> <*> <*> acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'","['pid=1716', 'auid=4294967295', ""ses=4294967295 msg='op=PAM:setcred""]"
3,LOGIN,(1642724221.479:151),pid=1716 uid=0 old-auid=4294967295 auid=0 tty=(none) old-ses=4294967295 ses=36 res=1,b7f8f4ff,<*> uid=0 old-auid=4294967295 auid=0 tty=(none) old-ses=4294967295 <*> res=1,"['pid=1716', 'ses=36']"
4,USER_START,(1642724221.483:152),"pid=1716 uid=0 auid=0 ses=36 msg='op=PAM:session_open acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'",97f26892,"<*> uid=0 <*> <*> <*> acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'","['pid=1716', 'auid=0', ""ses=36 msg='op=PAM:session_open""]"
5,CRED_DISP,(1642724221.491:153),"pid=1716 uid=0 auid=0 ses=36 msg='op=PAM:setcred acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'",97f26892,"<*> uid=0 <*> <*> <*> acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'","['pid=1716', 'auid=0', ""ses=36 msg='op=PAM:setcred""]"
6,USER_END,(1642724221.491:154),"pid=1716 uid=0 auid=0 ses=36 msg='op=PAM:session_close acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'",97f26892,"<*> uid=0 <*> <*> <*> acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'","['pid=1716', 'auid=0', ""ses=36 msg='op=PAM:session_close""]"
7,SERVICE_START,(1642724316.239:155),"pid=1 uid=0 auid=4294967295 ses=4294967295 msg='unit=apt-daily comm=""systemd"" exe=""/lib/systemd/systemd"" hostname=? addr=? terminal=? res=success'",fc005a8a,"pid=1 uid=0 auid=4294967295 ses=4294967295 <*> comm=""systemd"" exe=""/lib/systemd/systemd"" hostname=? addr=? terminal=? res=success'","[""msg='unit=apt-daily""]"
8,SERVICE_STOP,(1642724316.239:156),"pid=1 uid=0 auid=4294967295 ses=4294967295 msg='unit=apt-daily comm=""systemd"" exe=""/lib/systemd/systemd"" hostname=? addr=? terminal=? res=success'",fc005a8a,"pid=1 uid=0 auid=4294967295 ses=4294967295 <*> comm=""systemd"" exe=""/lib/systemd/systemd"" hostname=? addr=? terminal=? res=success'","[""msg='unit=apt-daily""]"
9,USER_ACCT,(1642727821.781:157),"pid=4462 uid=0 auid=4294967295 ses=4294967295 msg='op=PAM:accounting acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'",97f26892,"<*> uid=0 <*> <*> <*> acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'","['pid=4462', 'auid=4294967295', ""ses=4294967295 msg='op=PAM:accounting""]"
10,CRED_ACQ,(1642727821.781:158),"pid=4462 uid=0 auid=4294967295 ses=4294967295 msg='op=PAM:setcred acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'",97f26892,"<*> uid=0 <*> <*> <*> acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'","['pid=4462', 'auid=4294967295', ""ses=4294967295 msg='op=PAM:setcred""]"
11,LOGIN,(1642727821.785:159),pid=4462 uid=0 old-auid=4294967295 auid=0 tty=(none) old-ses=4294967295 ses=37 res=1,b7f8f4ff,<*> uid=0 old-auid=4294967295 auid=0 tty=(none) old-ses=4294967295 <*> res=1,"['pid=4462', 'ses=37']"
12,USER_START,(1642727821.793:160),"pid=4462 uid=0 auid=0 ses=37 msg='op=PAM:session_open acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'",97f26892,"<*> uid=0 <*> <*> <*> acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'","['pid=4462', 'auid=0', ""ses=37 msg='op=PAM:session_open""]"
13,CRED_DISP,(1642727821.809:161),"pid=4462 uid=0 auid=0 ses=37 msg='op=PAM:setcred acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'",97f26892,"<*> uid=0 <*> <*> <*> acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'","['pid=4462', 'auid=0', ""ses=37 msg='op=PAM:setcred""]"
14,USER_END,(1642727821.809:162),"pid=4462 uid=0 auid=0 ses=37 msg='op=PAM:session_close acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'",97f26892,"<*> uid=0 <*> <*> <*> acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'","['pid=4462', 'auid=0', ""ses=37 msg='op=PAM:session_close""]"
15,USER_ACCT,(1642731421.847:163),"pid=7159 uid=0 auid=4294967295 ses=4294967295 msg='op=PAM:accounting acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'",97f26892,"<*> uid=0 <*> <*> <*> acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'","['pid=7159', 'auid=4294967295', ""ses=4294967295 msg='op=PAM:accounting""]"
16,CRED_ACQ,(1642731421.851:164),"pid=7159 uid=0 auid=4294967295 ses=4294967295 msg='op=PAM:setcred acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'",97f26892,"<*> uid=0 <*> <*> <*> acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'","['pid=7159', 'auid=4294967295', ""ses=4294967295 msg='op=PAM:setcred""]"
17,LOGIN,(1642731421.851:165),pid=7159 uid=0 old-auid=4294967295 auid=0 tty=(none) old-ses=4294967295 ses=38 res=1,b7f8f4ff,<*> uid=0 old-auid=4294967295 auid=0 tty=(none) old-ses=4294967295 <*> res=1,"['pid=7159', 'ses=38']"
18,USER_START,(1642731421.851:166),"pid=7159 uid=0 auid=0 ses=38 msg='op=PAM:session_open acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'",97f26892,"<*> uid=0 <*> <*> <*> acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'","['pid=7159', 'auid=0', ""ses=38 msg='op=PAM:session_open""]"
19,CRED_DISP,(1642731421.859:167),"pid=7159 uid=0 auid=0 ses=38 msg='op=PAM:setcred acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'",97f26892,"<*> uid=0 <*> <*> <*> acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'","['pid=7159', 'auid=0', ""ses=38 msg='op=PAM:setcred""]"
20,USER_END,(1642731421.859:168),"pid=7159 uid=0 auid=0 ses=38 msg='op=PAM:session_close acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'",97f26892,"<*> uid=0 <*> <*> <*> acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'","['pid=7159', 'auid=0', ""ses=38 msg='op=PAM:session_close""]"
21,USER_ACCT,(1642735021.895:169),"pid=9818 uid=0 auid=4294967295 ses=4294967295 msg='op=PAM:accounting acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'",97f26892,"<*> uid=0 <*> <*> <*> acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'","['pid=9818', 'auid=4294967295', ""ses=4294967295 msg='op=PAM:accounting""]"
22,CRED_ACQ,(1642735021.899:170),"pid=9818 uid=0 auid=4294967295 ses=4294967295 msg='op=PAM:setcred acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'",97f26892,"<*> uid=0 <*> <*> <*> acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'","['pid=9818', 'auid=4294967295', ""ses=4294967295 msg='op=PAM:setcred""]"
23,LOGIN,(1642735021.899:171),pid=9818 uid=0 old-auid=4294967295 auid=0 tty=(none) old-ses=4294967295 ses=39 res=1,b7f8f4ff,<*> uid=0 old-auid=4294967295 auid=0 tty=(none) old-ses=4294967295 <*> res=1,"['pid=9818', 'ses=39']"
24,USER_START,(1642735021.899:172),"pid=9818 uid=0 auid=0 ses=39 msg='op=PAM:session_open acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'",97f26892,"<*> uid=0 <*> <*> <*> acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'","['pid=9818', 'auid=0', ""ses=39 msg='op=PAM:session_open""]"
25,CRED_DISP,(1642735021.907:173),"pid=9818 uid=0 auid=0 ses=39 msg='op=PAM:setcred acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'",97f26892,"<*> uid=0 <*> <*> <*> acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'","['pid=9818', 'auid=0', ""ses=39 msg='op=PAM:setcred""]"
26,USER_END,(1642735021.907:174),"pid=9818 uid=0 auid=0 ses=39 msg='op=PAM:session_close acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'",97f26892,"<*> uid=0 <*> <*> <*> acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'","['pid=9818', 'auid=0', ""ses=39 msg='op=PAM:session_close""]"
27,USER_ACCT,(1642738621.947:175),"pid=12485 uid=0 auid=4294967295 ses=4294967295 msg='op=PAM:accounting acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'",97f26892,"<*> uid=0 <*> <*> <*> acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'","['pid=12485', 'auid=4294967295', ""ses=4294967295 msg='op=PAM:accounting""]"
28,CRED_ACQ,(1642738621.947:176),"pid=12485 uid=0 auid=4294967295 ses=4294967295 msg='op=PAM:setcred acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'",97f26892,"<*> uid=0 <*> <*> <*> acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'","['pid=12485', 'auid=4294967295', ""ses=4294967295 msg='op=PAM:setcred""]"
29,LOGIN,(1642738621.947:177),pid=12485 uid=0 old-auid=4294967295 auid=0 tty=(none) old-ses=4294967295 ses=40 res=1,b7f8f4ff,<*> uid=0 old-auid=4294967295 auid=0 tty=(none) old-ses=4294967295 <*> res=1,"['pid=12485', 'ses=40']"
30,USER_START,(1642738621.951:178),"pid=12485 uid=0 auid=0 ses=40 msg='op=PAM:session_open acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'",97f26892,"<*> uid=0 <*> <*> <*> acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'","['pid=12485', 'auid=0', ""ses=40 msg='op=PAM:session_open""]"
31,CRED_DISP,(1642738621.955:179),"pid=12485 uid=0 auid=0 ses=40 msg='op=PAM:setcred acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'",97f26892,"<*> uid=0 <*> <*> <*> acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'","['pid=12485', 'auid=0', ""ses=40 msg='op=PAM:setcred""]"
32,USER_END,(1642738621.955:180),"pid=12485 uid=0 auid=0 ses=40 msg='op=PAM:session_close acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'",97f26892,"<*> uid=0 <*> <*> <*> acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'","['pid=12485', 'auid=0', ""ses=40 msg='op=PAM:session_close""]"
33,USER_ACCT,(1642742221.991:181),"pid=15177 uid=0 auid=4294967295 ses=4294967295 msg='op=PAM:accounting acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'",97f26892,"<*> uid=0 <*> <*> <*> acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'","['pid=15177', 'auid=4294967295', ""ses=4294967295 msg='op=PAM:accounting""]"
34,CRED_ACQ,(1642742221.991:182),"pid=15177 uid=0 auid=4294967295 ses=4294967295 msg='op=PAM:setcred acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'",97f26892,"<*> uid=0 <*> <*> <*> acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'","['pid=15177', 'auid=4294967295', ""ses=4294967295 msg='op=PAM:setcred""]"
