EventId,EventTemplate,Occurrences
40f8343b,query[A] <*> from <*>,40275
bef4b736,forwarded <*> to <*>,57960
a1c209ec,reply <*> is <*>,99406
614e0e47,query[TXT] current.cvd.clamav.net from <*>,582
1c20f0f3,query[AAAA] <*> from <*>,38967
2604aa46,cached <*> is <*>,25763
03e173c6,query[SRV] <*> from <*>,196
b0a0058c,nameserver <*> refused to do a recursive query,11493
006ad4fc,query[PTR] <*>.in-addr.arpa from <*>,1055
6068b063,query[MX] <*> from <*>,202
8a7db952,failed to access /etc/dnsmasq.d/dnsmasq-resolv.conf: No such file or directory,1
