LineId,Type,Timestamp,Content,EventId,EventTemplate,ParameterList
1,SERVICE_START,(1642990152.631:2174),"pid=1 uid=0 auid=4294967295 ses=4294967295 msg='unit=phpsessionclean comm=""systemd"" exe=""/lib/systemd/systemd"" hostname=? addr=? terminal=? res=success'",d5100b13,<*> uid=0 auid=4294967295 ses=4294967295 <*> <*> <*> hostname=? addr=? <*> res=success',"['pid=1', ""msg='unit=phpsessionclean"", 'comm=""systemd"" exe=""/lib/systemd/systemd""', 'terminal=?']"
2,SERVICE_STOP,(1642990152.631:2175),"pid=1 uid=0 auid=4294967295 ses=4294967295 msg='unit=phpsessionclean comm=""systemd"" exe=""/lib/systemd/systemd"" hostname=? addr=? terminal=? res=success'",d5100b13,<*> uid=0 auid=4294967295 ses=4294967295 <*> <*> <*> hostname=? addr=? <*> res=success',"['pid=1', ""msg='unit=phpsessionclean"", 'comm=""systemd"" exe=""/lib/systemd/systemd""', 'terminal=?']"
3,USER_ACCT,(1642990621.358:2176),"pid=27509 uid=0 auid=4294967295 ses=4294967295 msg='op=PAM:accounting acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'",d5100b13,<*> uid=0 auid=4294967295 ses=4294967295 <*> <*> <*> hostname=? addr=? <*> res=success',"['pid=27509', ""msg='op=PAM:accounting"", 'acct=""root"" exe=""/usr/sbin/cron""', 'terminal=cron']"
4,CRED_ACQ,(1642990621.358:2177),"pid=27509 uid=0 auid=4294967295 ses=4294967295 msg='op=PAM:setcred acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'",d5100b13,<*> uid=0 auid=4294967295 ses=4294967295 <*> <*> <*> hostname=? addr=? <*> res=success',"['pid=27509', ""msg='op=PAM:setcred"", 'acct=""root"" exe=""/usr/sbin/cron""', 'terminal=cron']"
5,LOGIN,(1642990621.362:2178),pid=27509 uid=0 old-auid=4294967295 auid=0 tty=(none) old-ses=4294967295 ses=302 res=1,b7f8f4ff,<*> uid=0 old-auid=4294967295 auid=0 tty=(none) old-ses=4294967295 <*> res=1,"['pid=27509', 'ses=302']"
6,USER_START,(1642990621.362:2179),"pid=27509 uid=0 auid=0 ses=302 msg='op=PAM:session_open acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'",97f26892,"<*> uid=0 <*> <*> <*> acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'","['pid=27509', 'auid=0', ""ses=302 msg='op=PAM:session_open""]"
7,CRED_DISP,(1642990621.366:2180),"pid=27509 uid=0 auid=0 ses=302 msg='op=PAM:setcred acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'",97f26892,"<*> uid=0 <*> <*> <*> acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'","['pid=27509', 'auid=0', ""ses=302 msg='op=PAM:setcred""]"
8,USER_END,(1642990621.370:2181),"pid=27509 uid=0 auid=0 ses=302 msg='op=PAM:session_close acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'",97f26892,"<*> uid=0 <*> <*> <*> acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'","['pid=27509', 'auid=0', ""ses=302 msg='op=PAM:session_close""]"
9,USER_ACCT,(1642991941.391:2182),"pid=27523 uid=0 auid=4294967295 ses=4294967295 msg='op=PAM:accounting acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'",97f26892,"<*> uid=0 <*> <*> <*> acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'","['pid=27523', 'auid=4294967295', ""ses=4294967295 msg='op=PAM:accounting""]"
10,CRED_ACQ,(1642991941.391:2183),"pid=27523 uid=0 auid=4294967295 ses=4294967295 msg='op=PAM:setcred acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'",97f26892,"<*> uid=0 <*> <*> <*> acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'","['pid=27523', 'auid=4294967295', ""ses=4294967295 msg='op=PAM:setcred""]"
11,LOGIN,(1642991941.391:2184),pid=27523 uid=0 old-auid=4294967295 auid=0 tty=(none) old-ses=4294967295 ses=303 res=1,b7f8f4ff,<*> uid=0 old-auid=4294967295 auid=0 tty=(none) old-ses=4294967295 <*> res=1,"['pid=27523', 'ses=303']"
12,USER_START,(1642991941.391:2185),"pid=27523 uid=0 auid=0 ses=303 msg='op=PAM:session_open acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'",97f26892,"<*> uid=0 <*> <*> <*> acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'","['pid=27523', 'auid=0', ""ses=303 msg='op=PAM:session_open""]"
13,CRED_DISP,(1642991941.399:2186),"pid=27523 uid=0 auid=0 ses=303 msg='op=PAM:setcred acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'",97f26892,"<*> uid=0 <*> <*> <*> acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'","['pid=27523', 'auid=0', ""ses=303 msg='op=PAM:setcred""]"
14,USER_END,(1642991941.399:2187),"pid=27523 uid=0 auid=0 ses=303 msg='op=PAM:session_close acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'",97f26892,"<*> uid=0 <*> <*> <*> acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'","['pid=27523', 'auid=0', ""ses=303 msg='op=PAM:session_close""]"
15,SERVICE_START,(1642991952.627:2188),"pid=1 uid=0 auid=4294967295 ses=4294967295 msg='unit=phpsessionclean comm=""systemd"" exe=""/lib/systemd/systemd"" hostname=? addr=? terminal=? res=success'",d5100b13,<*> uid=0 auid=4294967295 ses=4294967295 <*> <*> <*> hostname=? addr=? <*> res=success',"['pid=1', ""msg='unit=phpsessionclean"", 'comm=""systemd"" exe=""/lib/systemd/systemd""', 'terminal=?']"
16,SERVICE_STOP,(1642991952.631:2189),"pid=1 uid=0 auid=4294967295 ses=4294967295 msg='unit=phpsessionclean comm=""systemd"" exe=""/lib/systemd/systemd"" hostname=? addr=? terminal=? res=success'",d5100b13,<*> uid=0 auid=4294967295 ses=4294967295 <*> <*> <*> hostname=? addr=? <*> res=success',"['pid=1', ""msg='unit=phpsessionclean"", 'comm=""systemd"" exe=""/lib/systemd/systemd""', 'terminal=?']"
17,USER_ACCT,(1642993741.426:2190),"pid=27597 uid=0 auid=4294967295 ses=4294967295 msg='op=PAM:accounting acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'",97f26892,"<*> uid=0 <*> <*> <*> acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'","['pid=27597', 'auid=4294967295', ""ses=4294967295 msg='op=PAM:accounting""]"
18,CRED_ACQ,(1642993741.426:2191),"pid=27597 uid=0 auid=4294967295 ses=4294967295 msg='op=PAM:setcred acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'",97f26892,"<*> uid=0 <*> <*> <*> acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'","['pid=27597', 'auid=4294967295', ""ses=4294967295 msg='op=PAM:setcred""]"
19,LOGIN,(1642993741.426:2192),pid=27597 uid=0 old-auid=4294967295 auid=0 tty=(none) old-ses=4294967295 ses=304 res=1,b7f8f4ff,<*> uid=0 old-auid=4294967295 auid=0 tty=(none) old-ses=4294967295 <*> res=1,"['pid=27597', 'ses=304']"
20,USER_START,(1642993741.430:2193),"pid=27597 uid=0 auid=0 ses=304 msg='op=PAM:session_open acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'",97f26892,"<*> uid=0 <*> <*> <*> acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'","['pid=27597', 'auid=0', ""ses=304 msg='op=PAM:session_open""]"
21,CRED_DISP,(1642993741.430:2194),"pid=27597 uid=0 auid=0 ses=304 msg='op=PAM:setcred acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'",97f26892,"<*> uid=0 <*> <*> <*> acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'","['pid=27597', 'auid=0', ""ses=304 msg='op=PAM:setcred""]"
22,USER_END,(1642993741.430:2195),"pid=27597 uid=0 auid=0 ses=304 msg='op=PAM:session_close acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'",97f26892,"<*> uid=0 <*> <*> <*> acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'","['pid=27597', 'auid=0', ""ses=304 msg='op=PAM:session_close""]"
23,SERVICE_START,(1642993752.625:2196),"pid=1 uid=0 auid=4294967295 ses=4294967295 msg='unit=phpsessionclean comm=""systemd"" exe=""/lib/systemd/systemd"" hostname=? addr=? terminal=? res=success'",d5100b13,<*> uid=0 auid=4294967295 ses=4294967295 <*> <*> <*> hostname=? addr=? <*> res=success',"['pid=1', ""msg='unit=phpsessionclean"", 'comm=""systemd"" exe=""/lib/systemd/systemd""', 'terminal=?']"
24,SERVICE_STOP,(1642993752.625:2197),"pid=1 uid=0 auid=4294967295 ses=4294967295 msg='unit=phpsessionclean comm=""systemd"" exe=""/lib/systemd/systemd"" hostname=? addr=? terminal=? res=success'",d5100b13,<*> uid=0 auid=4294967295 ses=4294967295 <*> <*> <*> hostname=? addr=? <*> res=success',"['pid=1', ""msg='unit=phpsessionclean"", 'comm=""systemd"" exe=""/lib/systemd/systemd""', 'terminal=?']"
25,USER_ACCT,(1642994221.444:2198),"pid=27668 uid=0 auid=4294967295 ses=4294967295 msg='op=PAM:accounting acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'",97f26892,"<*> uid=0 <*> <*> <*> acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'","['pid=27668', 'auid=4294967295', ""ses=4294967295 msg='op=PAM:accounting""]"
26,CRED_ACQ,(1642994221.448:2199),"pid=27668 uid=0 auid=4294967295 ses=4294967295 msg='op=PAM:setcred acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'",97f26892,"<*> uid=0 <*> <*> <*> acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'","['pid=27668', 'auid=4294967295', ""ses=4294967295 msg='op=PAM:setcred""]"
27,LOGIN,(1642994221.448:2200),pid=27668 uid=0 old-auid=4294967295 auid=0 tty=(none) old-ses=4294967295 ses=305 res=1,b7f8f4ff,<*> uid=0 old-auid=4294967295 auid=0 tty=(none) old-ses=4294967295 <*> res=1,"['pid=27668', 'ses=305']"
28,USER_START,(1642994221.448:2201),"pid=27668 uid=0 auid=0 ses=305 msg='op=PAM:session_open acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'",97f26892,"<*> uid=0 <*> <*> <*> acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'","['pid=27668', 'auid=0', ""ses=305 msg='op=PAM:session_open""]"
29,CRED_DISP,(1642994221.452:2202),"pid=27668 uid=0 auid=0 ses=305 msg='op=PAM:setcred acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'",97f26892,"<*> uid=0 <*> <*> <*> acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'","['pid=27668', 'auid=0', ""ses=305 msg='op=PAM:setcred""]"
30,USER_END,(1642994221.452:2203),"pid=27668 uid=0 auid=0 ses=305 msg='op=PAM:session_close acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'",97f26892,"<*> uid=0 <*> <*> <*> acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'","['pid=27668', 'auid=0', ""ses=305 msg='op=PAM:session_close""]"
31,USER_ACCT,(1642995541.476:2204),"pid=27677 uid=0 auid=4294967295 ses=4294967295 msg='op=PAM:accounting acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'",97f26892,"<*> uid=0 <*> <*> <*> acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'","['pid=27677', 'auid=4294967295', ""ses=4294967295 msg='op=PAM:accounting""]"
32,CRED_ACQ,(1642995541.476:2205),"pid=27677 uid=0 auid=4294967295 ses=4294967295 msg='op=PAM:setcred acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'",97f26892,"<*> uid=0 <*> <*> <*> acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'","['pid=27677', 'auid=4294967295', ""ses=4294967295 msg='op=PAM:setcred""]"
33,LOGIN,(1642995541.476:2206),pid=27677 uid=0 old-auid=4294967295 auid=0 tty=(none) old-ses=4294967295 ses=306 res=1,b7f8f4ff,<*> uid=0 old-auid=4294967295 auid=0 tty=(none) old-ses=4294967295 <*> res=1,"['pid=27677', 'ses=306']"
34,USER_START,(1642995541.480:2207),"pid=27677 uid=0 auid=0 ses=306 msg='op=PAM:session_open acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'",97f26892,"<*> uid=0 <*> <*> <*> acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'","['pid=27677', 'auid=0', ""ses=306 msg='op=PAM:session_open""]"
35,CRED_DISP,(1642995541.496:2208),"pid=27677 uid=0 auid=0 ses=306 msg='op=PAM:setcred acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'",97f26892,"<*> uid=0 <*> <*> <*> acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'","['pid=27677', 'auid=0', ""ses=306 msg='op=PAM:setcred""]"
36,USER_END,(1642995541.496:2209),"pid=27677 uid=0 auid=0 ses=306 msg='op=PAM:session_close acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'",97f26892,"<*> uid=0 <*> <*> <*> acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'","['pid=27677', 'auid=0', ""ses=306 msg='op=PAM:session_close""]"
37,SERVICE_START,(1642995552.640:2210),"pid=1 uid=0 auid=4294967295 ses=4294967295 msg='unit=phpsessionclean comm=""systemd"" exe=""/lib/systemd/systemd"" hostname=? addr=? terminal=? res=success'",d5100b13,<*> uid=0 auid=4294967295 ses=4294967295 <*> <*> <*> hostname=? addr=? <*> res=success',"['pid=1', ""msg='unit=phpsessionclean"", 'comm=""systemd"" exe=""/lib/systemd/systemd""', 'terminal=?']"
38,SERVICE_STOP,(1642995552.640:2211),"pid=1 uid=0 auid=4294967295 ses=4294967295 msg='unit=phpsessionclean comm=""systemd"" exe=""/lib/systemd/systemd"" hostname=? addr=? terminal=? res=success'",d5100b13,<*> uid=0 auid=4294967295 ses=4294967295 <*> <*> <*> hostname=? addr=? <*> res=success',"['pid=1', ""msg='unit=phpsessionclean"", 'comm=""systemd"" exe=""/lib/systemd/systemd""', 'terminal=?']"
