LineId,Type,Timestamp,Content,EventId,EventTemplate,ParameterList
1,USER_ACCT,(1643005021.754:2273),"pid=28271 uid=0 auid=4294967295 ses=4294967295 msg='op=PAM:accounting acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'",97f26892,"<*> uid=0 <*> <*> <*> acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'","['pid=28271', 'auid=4294967295', ""ses=4294967295 msg='op=PAM:accounting""]"
2,CRED_ACQ,(1643005021.758:2274),"pid=28271 uid=0 auid=4294967295 ses=4294967295 msg='op=PAM:setcred acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'",97f26892,"<*> uid=0 <*> <*> <*> acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'","['pid=28271', 'auid=4294967295', ""ses=4294967295 msg='op=PAM:setcred""]"
3,LOGIN,(1643005021.758:2275),pid=28271 uid=0 old-auid=4294967295 auid=0 tty=(none) old-ses=4294967295 ses=314 res=1,b7f8f4ff,<*> uid=0 old-auid=4294967295 auid=0 tty=(none) old-ses=4294967295 <*> res=1,"['pid=28271', 'ses=314']"
4,USER_START,(1643005021.758:2276),"pid=28271 uid=0 auid=0 ses=314 msg='op=PAM:session_open acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'",97f26892,"<*> uid=0 <*> <*> <*> acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'","['pid=28271', 'auid=0', ""ses=314 msg='op=PAM:session_open""]"
5,CRED_DISP,(1643005021.770:2277),"pid=28271 uid=0 auid=0 ses=314 msg='op=PAM:setcred acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'",97f26892,"<*> uid=0 <*> <*> <*> acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'","['pid=28271', 'auid=0', ""ses=314 msg='op=PAM:setcred""]"
6,USER_END,(1643005021.770:2278),"pid=28271 uid=0 auid=0 ses=314 msg='op=PAM:session_close acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'",97f26892,"<*> uid=0 <*> <*> <*> acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'","['pid=28271', 'auid=0', ""ses=314 msg='op=PAM:session_close""]"
7,USER_ACCT,(1643005501.788:2279),"pid=28275 uid=0 auid=4294967295 ses=4294967295 msg='op=PAM:accounting acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'",97f26892,"<*> uid=0 <*> <*> <*> acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'","['pid=28275', 'auid=4294967295', ""ses=4294967295 msg='op=PAM:accounting""]"
8,CRED_ACQ,(1643005501.788:2280),"pid=28275 uid=0 auid=4294967295 ses=4294967295 msg='op=PAM:setcred acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'",97f26892,"<*> uid=0 <*> <*> <*> acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'","['pid=28275', 'auid=4294967295', ""ses=4294967295 msg='op=PAM:setcred""]"
9,LOGIN,(1643005501.788:2281),pid=28275 uid=0 old-auid=4294967295 auid=0 tty=(none) old-ses=4294967295 ses=315 res=1,b7f8f4ff,<*> uid=0 old-auid=4294967295 auid=0 tty=(none) old-ses=4294967295 <*> res=1,"['pid=28275', 'ses=315']"
10,USER_START,(1643005501.792:2282),"pid=28275 uid=0 auid=0 ses=315 msg='op=PAM:session_open acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'",97f26892,"<*> uid=0 <*> <*> <*> acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'","['pid=28275', 'auid=0', ""ses=315 msg='op=PAM:session_open""]"
11,CRED_DISP,(1643005507.532:2283),"pid=28275 uid=0 auid=0 ses=315 msg='op=PAM:setcred acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'",97f26892,"<*> uid=0 <*> <*> <*> acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'","['pid=28275', 'auid=0', ""ses=315 msg='op=PAM:setcred""]"
12,USER_END,(1643005507.536:2284),"pid=28275 uid=0 auid=0 ses=315 msg='op=PAM:session_close acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'",97f26892,"<*> uid=0 <*> <*> <*> acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'","['pid=28275', 'auid=0', ""ses=315 msg='op=PAM:session_close""]"
