EventId,EventTemplate,Occurrences
97f26892,"<*> uid=0 <*> <*> <*> acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'",1490
f3b2bac2,<*> uid=0 old-auid=4294967295 <*> tty=(none) old-ses=4294967295 <*> res=1,304
3171a7a1,"<*> uid=0 <*> <*> <*> <*> exe=""/lib/systemd/systemd"" hostname=? addr=? terminal=? res=success'",480
f73312c1,"apparmor=""STATUS"" operation=""profile_replace"" info=""same as current profile, skipping"" profile=""unconfined"" <*> pid=23662 comm=""apparmor_parser""",4
e5025811,"arch=c000003e syscall=1 success=yes <*> a0=6 <*> <*> a3=0 items=0 ppid=23661 pid=23662 auid=4294967295 uid=0 gid=0 euid=0 suid=0 fsuid=0 egid=0 sgid=0 fsgid=0 tty=pts1 ses=4294967295 comm=""apparmor_parser"" exe=""/sbin/apparmor_parser"" key=(null)",4
0c9c36e2,proctitle=61707061726D6F725F706172736572002D72002D54002D57002F6574632F61707061726D6F722E642F7362696E2E6468636C69656E74,4
4d313f6c,"<*> uid=0 <*> <*> <*> acct=""jhall"" exe=""/usr/sbin/sshd"" hostname=<*> addr=<*> terminal=ssh res=success'",16
0e6cc7b7,"<*> uid=0 auid=1002 <*> <*> <*> exe=""/usr/sbin/sshd"" hostname=<*> addr=<*> <*> res=success'",5
c327cd37,<*> <*> auid=4294967295 ses=4294967295 <*> <*> <*> hostname=? addr=? terminal=/dev/pts/1 res=success',8
08b2e0f8,"pid=27966 uid=1002 auid=4294967295 ses=4294967295 msg='cwd=""/var/www/intranet.smith.russellmitchell.com/wp-content/uploads/2022/01"" cmd=636174202F6574632F736861646F77 terminal=pts/1 res=success'",1
