LineId,Type,Timestamp,Content,EventId,EventTemplate,ParameterList
1,USER_ACCT,(1642995541.476:2204),"pid=27677 uid=0 auid=4294967295 ses=4294967295 msg='op=PAM:accounting acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'",97f26892,"<*> uid=0 <*> <*> <*> acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'","['pid=27677', 'auid=4294967295', ""ses=4294967295 msg='op=PAM:accounting""]"
2,CRED_ACQ,(1642995541.476:2205),"pid=27677 uid=0 auid=4294967295 ses=4294967295 msg='op=PAM:setcred acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'",97f26892,"<*> uid=0 <*> <*> <*> acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'","['pid=27677', 'auid=4294967295', ""ses=4294967295 msg='op=PAM:setcred""]"
3,LOGIN,(1642995541.476:2206),pid=27677 uid=0 old-auid=4294967295 auid=0 tty=(none) old-ses=4294967295 ses=306 res=1,b7f8f4ff,<*> uid=0 old-auid=4294967295 auid=0 tty=(none) old-ses=4294967295 <*> res=1,"['pid=27677', 'ses=306']"
4,USER_START,(1642995541.480:2207),"pid=27677 uid=0 auid=0 ses=306 msg='op=PAM:session_open acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'",97f26892,"<*> uid=0 <*> <*> <*> acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'","['pid=27677', 'auid=0', ""ses=306 msg='op=PAM:session_open""]"
5,CRED_DISP,(1642995541.496:2208),"pid=27677 uid=0 auid=0 ses=306 msg='op=PAM:setcred acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'",97f26892,"<*> uid=0 <*> <*> <*> acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'","['pid=27677', 'auid=0', ""ses=306 msg='op=PAM:setcred""]"
6,USER_END,(1642995541.496:2209),"pid=27677 uid=0 auid=0 ses=306 msg='op=PAM:session_close acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'",97f26892,"<*> uid=0 <*> <*> <*> acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'","['pid=27677', 'auid=0', ""ses=306 msg='op=PAM:session_close""]"
7,SERVICE_START,(1642995552.640:2210),"pid=1 uid=0 auid=4294967295 ses=4294967295 msg='unit=phpsessionclean comm=""systemd"" exe=""/lib/systemd/systemd"" hostname=? addr=? terminal=? res=success'",b295a08b,"pid=1 uid=0 auid=4294967295 ses=4294967295 msg='unit=phpsessionclean comm=""systemd"" exe=""/lib/systemd/systemd"" hostname=? addr=? terminal=? res=success'",[]
8,SERVICE_STOP,(1642995552.640:2211),"pid=1 uid=0 auid=4294967295 ses=4294967295 msg='unit=phpsessionclean comm=""systemd"" exe=""/lib/systemd/systemd"" hostname=? addr=? terminal=? res=success'",b295a08b,"pid=1 uid=0 auid=4294967295 ses=4294967295 msg='unit=phpsessionclean comm=""systemd"" exe=""/lib/systemd/systemd"" hostname=? addr=? terminal=? res=success'",[]
9,USER_ACCT,(1642997341.543:2212),"pid=27853 uid=0 auid=4294967295 ses=4294967295 msg='op=PAM:accounting acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'",97f26892,"<*> uid=0 <*> <*> <*> acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'","['pid=27853', 'auid=4294967295', ""ses=4294967295 msg='op=PAM:accounting""]"
10,CRED_ACQ,(1642997341.543:2213),"pid=27853 uid=0 auid=4294967295 ses=4294967295 msg='op=PAM:setcred acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'",97f26892,"<*> uid=0 <*> <*> <*> acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'","['pid=27853', 'auid=4294967295', ""ses=4294967295 msg='op=PAM:setcred""]"
