LineId,Type,Timestamp,Content,EventId,EventTemplate,ParameterList
1,USER_ACCT,(1642724221.650:149),"pid=17710 uid=0 auid=4294967295 ses=4294967295 msg='op=PAM:accounting acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'",97f26892,"<*> uid=0 <*> <*> <*> acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'","['pid=17710', 'auid=4294967295', ""ses=4294967295 msg='op=PAM:accounting""]"
2,CRED_ACQ,(1642724221.650:150),"pid=17710 uid=0 auid=4294967295 ses=4294967295 msg='op=PAM:setcred acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'",97f26892,"<*> uid=0 <*> <*> <*> acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'","['pid=17710', 'auid=4294967295', ""ses=4294967295 msg='op=PAM:setcred""]"
3,LOGIN,(1642724221.650:151),pid=17710 uid=0 old-auid=4294967295 auid=0 tty=(none) old-ses=4294967295 ses=28 res=1,b7f8f4ff,<*> uid=0 old-auid=4294967295 auid=0 tty=(none) old-ses=4294967295 <*> res=1,"['pid=17710', 'ses=28']"
4,USER_START,(1642724221.650:152),"pid=17710 uid=0 auid=0 ses=28 msg='op=PAM:session_open acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'",97f26892,"<*> uid=0 <*> <*> <*> acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'","['pid=17710', 'auid=0', ""ses=28 msg='op=PAM:session_open""]"
5,CRED_DISP,(1642724221.662:153),"pid=17710 uid=0 auid=0 ses=28 msg='op=PAM:setcred acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'",97f26892,"<*> uid=0 <*> <*> <*> acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'","['pid=17710', 'auid=0', ""ses=28 msg='op=PAM:setcred""]"
6,USER_END,(1642724221.662:154),"pid=17710 uid=0 auid=0 ses=28 msg='op=PAM:session_close acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'",97f26892,"<*> uid=0 <*> <*> <*> acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'","['pid=17710', 'auid=0', ""ses=28 msg='op=PAM:session_close""]"
7,USER_ACCT,(1642727821.712:155),"pid=17723 uid=0 auid=4294967295 ses=4294967295 msg='op=PAM:accounting acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'",97f26892,"<*> uid=0 <*> <*> <*> acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'","['pid=17723', 'auid=4294967295', ""ses=4294967295 msg='op=PAM:accounting""]"
8,CRED_ACQ,(1642727821.716:156),"pid=17723 uid=0 auid=4294967295 ses=4294967295 msg='op=PAM:setcred acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'",97f26892,"<*> uid=0 <*> <*> <*> acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'","['pid=17723', 'auid=4294967295', ""ses=4294967295 msg='op=PAM:setcred""]"
9,LOGIN,(1642727821.716:157),pid=17723 uid=0 old-auid=4294967295 auid=0 tty=(none) old-ses=4294967295 ses=29 res=1,b7f8f4ff,<*> uid=0 old-auid=4294967295 auid=0 tty=(none) old-ses=4294967295 <*> res=1,"['pid=17723', 'ses=29']"
10,USER_START,(1642727821.716:158),"pid=17723 uid=0 auid=0 ses=29 msg='op=PAM:session_open acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'",97f26892,"<*> uid=0 <*> <*> <*> acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'","['pid=17723', 'auid=0', ""ses=29 msg='op=PAM:session_open""]"
11,CRED_DISP,(1642727821.724:159),"pid=17723 uid=0 auid=0 ses=29 msg='op=PAM:setcred acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'",97f26892,"<*> uid=0 <*> <*> <*> acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'","['pid=17723', 'auid=0', ""ses=29 msg='op=PAM:setcred""]"
12,USER_END,(1642727821.724:160),"pid=17723 uid=0 auid=0 ses=29 msg='op=PAM:session_close acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'",97f26892,"<*> uid=0 <*> <*> <*> acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'","['pid=17723', 'auid=0', ""ses=29 msg='op=PAM:session_close""]"
13,USER_ACCT,(1642731421.762:161),"pid=17736 uid=0 auid=4294967295 ses=4294967295 msg='op=PAM:accounting acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'",97f26892,"<*> uid=0 <*> <*> <*> acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'","['pid=17736', 'auid=4294967295', ""ses=4294967295 msg='op=PAM:accounting""]"
14,CRED_ACQ,(1642731421.762:162),"pid=17736 uid=0 auid=4294967295 ses=4294967295 msg='op=PAM:setcred acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'",97f26892,"<*> uid=0 <*> <*> <*> acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'","['pid=17736', 'auid=4294967295', ""ses=4294967295 msg='op=PAM:setcred""]"
15,LOGIN,(1642731421.762:163),pid=17736 uid=0 old-auid=4294967295 auid=0 tty=(none) old-ses=4294967295 ses=30 res=1,b7f8f4ff,<*> uid=0 old-auid=4294967295 auid=0 tty=(none) old-ses=4294967295 <*> res=1,"['pid=17736', 'ses=30']"
16,USER_START,(1642731421.762:164),"pid=17736 uid=0 auid=0 ses=30 msg='op=PAM:session_open acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'",97f26892,"<*> uid=0 <*> <*> <*> acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'","['pid=17736', 'auid=0', ""ses=30 msg='op=PAM:session_open""]"
17,CRED_DISP,(1642731421.774:165),"pid=17736 uid=0 auid=0 ses=30 msg='op=PAM:setcred acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'",97f26892,"<*> uid=0 <*> <*> <*> acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'","['pid=17736', 'auid=0', ""ses=30 msg='op=PAM:setcred""]"
