LineId,Type,Timestamp,Content,EventId,EventTemplate,ParameterList
1,USER_ACCT,(1642723741.072:375),"pid=10125 uid=0 auid=4294967295 ses=4294967295 msg='op=PAM:accounting acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'",97f26892,"<*> uid=0 <*> <*> <*> acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'","['pid=10125', 'auid=4294967295', ""ses=4294967295 msg='op=PAM:accounting""]"
2,CRED_ACQ,(1642723741.072:376),"pid=10125 uid=0 auid=4294967295 ses=4294967295 msg='op=PAM:setcred acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'",97f26892,"<*> uid=0 <*> <*> <*> acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'","['pid=10125', 'auid=4294967295', ""ses=4294967295 msg='op=PAM:setcred""]"
3,LOGIN,(1642723741.076:377),pid=10125 uid=0 old-auid=4294967295 auid=0 tty=(none) old-ses=4294967295 ses=65 res=1,b7f8f4ff,<*> uid=0 old-auid=4294967295 auid=0 tty=(none) old-ses=4294967295 <*> res=1,"['pid=10125', 'ses=65']"
4,USER_START,(1642723741.080:378),"pid=10125 uid=0 auid=0 ses=65 msg='op=PAM:session_open acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'",97f26892,"<*> uid=0 <*> <*> <*> acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'","['pid=10125', 'auid=0', ""ses=65 msg='op=PAM:session_open""]"
5,CRED_DISP,(1642723741.084:379),"pid=10125 uid=0 auid=0 ses=65 msg='op=PAM:setcred acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'",97f26892,"<*> uid=0 <*> <*> <*> acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'","['pid=10125', 'auid=0', ""ses=65 msg='op=PAM:setcred""]"
6,USER_END,(1642723741.084:380),"pid=10125 uid=0 auid=0 ses=65 msg='op=PAM:session_close acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'",97f26892,"<*> uid=0 <*> <*> <*> acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'","['pid=10125', 'auid=0', ""ses=65 msg='op=PAM:session_close""]"
7,SERVICE_START,(1642723752.624:381),"pid=1 uid=0 auid=4294967295 ses=4294967295 msg='unit=phpsessionclean comm=""systemd"" exe=""/lib/systemd/systemd"" hostname=? addr=? terminal=? res=success'",fc005a8a,"pid=1 uid=0 auid=4294967295 ses=4294967295 <*> comm=""systemd"" exe=""/lib/systemd/systemd"" hostname=? addr=? terminal=? res=success'","[""msg='unit=phpsessionclean""]"
8,SERVICE_STOP,(1642723752.624:382),"pid=1 uid=0 auid=4294967295 ses=4294967295 msg='unit=phpsessionclean comm=""systemd"" exe=""/lib/systemd/systemd"" hostname=? addr=? terminal=? res=success'",fc005a8a,"pid=1 uid=0 auid=4294967295 ses=4294967295 <*> comm=""systemd"" exe=""/lib/systemd/systemd"" hostname=? addr=? terminal=? res=success'","[""msg='unit=phpsessionclean""]"
9,USER_ACCT,(1642724221.094:383),"pid=10197 uid=0 auid=4294967295 ses=4294967295 msg='op=PAM:accounting acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'",97f26892,"<*> uid=0 <*> <*> <*> acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'","['pid=10197', 'auid=4294967295', ""ses=4294967295 msg='op=PAM:accounting""]"
10,CRED_ACQ,(1642724221.098:384),"pid=10197 uid=0 auid=4294967295 ses=4294967295 msg='op=PAM:setcred acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'",97f26892,"<*> uid=0 <*> <*> <*> acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'","['pid=10197', 'auid=4294967295', ""ses=4294967295 msg='op=PAM:setcred""]"
11,LOGIN,(1642724221.098:385),pid=10197 uid=0 old-auid=4294967295 auid=0 tty=(none) old-ses=4294967295 ses=66 res=1,b7f8f4ff,<*> uid=0 old-auid=4294967295 auid=0 tty=(none) old-ses=4294967295 <*> res=1,"['pid=10197', 'ses=66']"
12,USER_START,(1642724221.102:386),"pid=10197 uid=0 auid=0 ses=66 msg='op=PAM:session_open acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'",97f26892,"<*> uid=0 <*> <*> <*> acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'","['pid=10197', 'auid=0', ""ses=66 msg='op=PAM:session_open""]"
13,CRED_DISP,(1642724221.106:387),"pid=10197 uid=0 auid=0 ses=66 msg='op=PAM:setcred acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'",97f26892,"<*> uid=0 <*> <*> <*> acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success'","['pid=10197', 'auid=0', ""ses=66 msg='op=PAM:setcred""]"
