LineId,Process,Content,EventId,EventTemplate,ParameterList,Timestamp
1,dnsmasq[3468],query[PTR] 4.230.168.192.in-addr.arpa from 172.19.131.174,006ad4fc,query[PTR] <*>.in-addr.arpa from <*>,"['4.230.168.192', '172.19.131.174']",2022/01/24 03:56:47
2,dnsmasq[3468],forwarded 4.230.168.192.in-addr.arpa to 127.0.0.1,bef4b736,forwarded <*> to <*>,"['4.230.168.192.in-addr.arpa', '127.0.0.1']",2022/01/24 03:56:47
3,dnsmasq[3468],nameserver 127.0.0.1 refused to do a recursive query,b0a0058c,nameserver <*> refused to do a recursive query,['127.0.0.1'],2022/01/24 03:56:47
4,dnsmasq[3468],reply 192.168.230.4 is gateway.smith.russellmitchell.com,a1c209ec,reply <*> is <*>,"['192.168.230.4', 'gateway.smith.russellmitchell.com']",2022/01/24 03:56:47
5,dnsmasq[3468],query[PTR] 4.2.143.10.in-addr.arpa from 172.19.131.174,006ad4fc,query[PTR] <*>.in-addr.arpa from <*>,"['4.2.143.10', '172.19.131.174']",2022/01/24 03:56:47
6,dnsmasq[3468],forwarded 4.2.143.10.in-addr.arpa to 127.0.0.1,bef4b736,forwarded <*> to <*>,"['4.2.143.10.in-addr.arpa', '127.0.0.1']",2022/01/24 03:56:47
7,dnsmasq[3468],query[PTR] 254.231.168.192.in-addr.arpa from 172.19.131.174,006ad4fc,query[PTR] <*>.in-addr.arpa from <*>,"['254.231.168.192', '172.19.131.174']",2022/01/24 03:56:47
8,dnsmasq[3468],forwarded 254.231.168.192.in-addr.arpa to 192.168.231.254,bef4b736,forwarded <*> to <*>,"['254.231.168.192.in-addr.arpa', '192.168.231.254']",2022/01/24 03:56:47
9,dnsmasq[3468],query[PTR] 164.231.168.192.in-addr.arpa from 172.19.131.174,006ad4fc,query[PTR] <*>.in-addr.arpa from <*>,"['164.231.168.192', '172.19.131.174']",2022/01/24 03:56:47
10,dnsmasq[3468],forwarded 164.231.168.192.in-addr.arpa to 192.168.231.254,bef4b736,forwarded <*> to <*>,"['164.231.168.192.in-addr.arpa', '192.168.231.254']",2022/01/24 03:56:47
11,dnsmasq[3468],query[PTR] 103.0.143.10.in-addr.arpa from 172.19.131.174,006ad4fc,query[PTR] <*>.in-addr.arpa from <*>,"['103.0.143.10', '172.19.131.174']",2022/01/24 03:56:47
12,dnsmasq[3468],forwarded 103.0.143.10.in-addr.arpa to 127.0.0.1,bef4b736,forwarded <*> to <*>,"['103.0.143.10.in-addr.arpa', '127.0.0.1']",2022/01/24 03:56:47
13,dnsmasq[3468],query[PTR] 106.130.19.172.in-addr.arpa from 172.19.131.174,006ad4fc,query[PTR] <*>.in-addr.arpa from <*>,"['106.130.19.172', '172.19.131.174']",2022/01/24 03:56:47
14,dnsmasq[3468],forwarded 106.130.19.172.in-addr.arpa to 127.0.0.1,bef4b736,forwarded <*> to <*>,"['106.130.19.172.in-addr.arpa', '127.0.0.1']",2022/01/24 03:56:47
