LineId,Process,Content,EventId,EventTemplate,ParameterList,Timestamp
1,dnsmasq[3326],query[A] static-whale.pstatic.net from 192.168.230.4,40f8343b,query[A] <*> from <*>,"['static-whale.pstatic.net', '192.168.230.4']",2022/01/20 23:54:42
2,dnsmasq[3326],forwarded static-whale.pstatic.net to 8.8.8.8,bef4b736,forwarded <*> to <*>,"['static-whale.pstatic.net', '8.8.8.8']",2022/01/20 23:54:42
3,dnsmasq[3326],query[AAAA] static-whale.pstatic.net from 192.168.230.4,1c20f0f3,query[AAAA] <*> from <*>,"['static-whale.pstatic.net', '192.168.230.4']",2022/01/20 23:54:42
4,dnsmasq[3326],forwarded static-whale.pstatic.net to 8.8.8.8,bef4b736,forwarded <*> to <*>,"['static-whale.pstatic.net', '8.8.8.8']",2022/01/20 23:54:42
5,dnsmasq[3326],query[A] s.pstatic.net from 192.168.230.4,40f8343b,query[A] <*> from <*>,"['s.pstatic.net', '192.168.230.4']",2022/01/20 23:54:42
6,dnsmasq[3326],forwarded s.pstatic.net to 8.8.8.8,bef4b736,forwarded <*> to <*>,"['s.pstatic.net', '8.8.8.8']",2022/01/20 23:54:42
7,dnsmasq[3326],query[AAAA] s.pstatic.net from 192.168.230.4,1c20f0f3,query[AAAA] <*> from <*>,"['s.pstatic.net', '192.168.230.4']",2022/01/20 23:54:42
8,dnsmasq[3326],forwarded s.pstatic.net to 8.8.8.8,bef4b736,forwarded <*> to <*>,"['s.pstatic.net', '8.8.8.8']",2022/01/20 23:54:42
9,dnsmasq[3326],reply ssl.pstatic.net is <CNAME>,a1c209ec,reply <*> is <*>,"['ssl.pstatic.net', '<CNAME>']",2022/01/20 23:54:42
10,dnsmasq[3326],reply ssl.pstatic.net.nheos.com is <CNAME>,a1c209ec,reply <*> is <*>,"['ssl.pstatic.net.nheos.com', '<CNAME>']",2022/01/20 23:54:42
11,dnsmasq[3326],reply ssl.pstatic.net.edgekey.net is <CNAME>,a1c209ec,reply <*> is <*>,"['ssl.pstatic.net.edgekey.net', '<CNAME>']",2022/01/20 23:54:42
12,dnsmasq[3326],reply e6030.d.akamaiedge.net is 23.47.212.196,a1c209ec,reply <*> is <*>,"['e6030.d.akamaiedge.net', '23.47.212.196']",2022/01/20 23:54:42
13,dnsmasq[3326],reply s.pstatic.net is <CNAME>,a1c209ec,reply <*> is <*>,"['s.pstatic.net', '<CNAME>']",2022/01/20 23:54:42
14,dnsmasq[3326],reply s.pstatic.net.nheos.com is <CNAME>,a1c209ec,reply <*> is <*>,"['s.pstatic.net.nheos.com', '<CNAME>']",2022/01/20 23:54:42
15,dnsmasq[3326],reply s.pstatic.net.edgekey.net is <CNAME>,a1c209ec,reply <*> is <*>,"['s.pstatic.net.edgekey.net', '<CNAME>']",2022/01/20 23:54:42
16,dnsmasq[3326],reply e6410.d.akamaiedge.net is NODATA-IPv6,a1c209ec,reply <*> is <*>,"['e6410.d.akamaiedge.net', 'NODATA-IPv6']",2022/01/20 23:54:42
