Flow ID,Timestamp,Source IP,Destination IP,Source Port,Destination Port,Protocol,Application Protocol,Time_Delta,Totlen Pkts,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Tot Pkts,Payload
192.168.230.165-192.168.230.4-46011-1194-17,2022/01/21 07:11:53,192.168.230.165,192.168.230.4,46011,1194,UDP,OpenVPN,112401245,1832.0,11,14,792.0,1040.0,25,No payload found for the flow
8.0.6.4-8.6.0.1-0-0-0,2022/01/21 07:11:53,8.6.0.1,8.0.6.4,0,0,HOPOPT,Non-Application,116992515,0.0,41,1,0.0,0.0,42,No payload found for the flow
192.168.230.4-192.168.230.95-1194-60795-17,2022/01/21 07:12:00,192.168.230.4,192.168.230.95,1194,60795,UDP,OpenVPN,119998256,46904.0,70,81,30000.0,16904.0,151,No payload found for the flow
192.168.230.4-192.168.231.254-32371-53-17,2022/01/21 07:12:06,192.168.230.4,192.168.231.254,32371,53,UDP,DNS,3323,456.0,0,2,0.0,456.0,2,No payload found for the flow
192.168.230.4-192.168.231.254-33596-53-17,2022/01/21 07:12:19,192.168.230.4,192.168.231.254,33596,53,UDP,DNS,2794,456.0,0,2,0.0,456.0,2,No payload found for the flow
192.168.230.4-91.189.91.157-49514-123-17,2022/01/21 07:12:28,192.168.230.4,91.189.91.157,49514,123,UDP,NTP,94907,96.0,0,2,0.0,96.0,2,No payload found for the flow
192.168.230.4-192.168.231.254-34500-53-17,2022/01/21 07:12:39,192.168.230.4,192.168.231.254,34500,53,UDP,DNS,4930,456.0,0,2,0.0,456.0,2,No payload found for the flow
192.168.230.4-91.189.94.4-49918-123-17,2022/01/21 07:12:49,192.168.230.4,91.189.94.4,49918,123,UDP,NTP,28220,96.0,0,2,0.0,96.0,2,No payload found for the flow
192.168.230.4-192.168.231.254-44147-53-17,2022/01/21 07:12:51,192.168.230.4,192.168.231.254,44147,53,UDP,DNS,26687,162.0,0,2,0.0,162.0,2,No payload found for the flow
192.168.230.4-78.47.204.111-47748-443-6,2022/01/21 07:12:51,192.168.230.4,78.47.204.111,47748,443,TCP,HTTPS,1690,0.0,2,2,0.0,0.0,4,No payload found for the flow
192.168.230.4-78.47.204.111-47748-443-6,2022/01/21 07:12:51,192.168.230.4,78.47.204.111,47748,443,TCP,HTTPS,76495,2992.0,8,8,860.0,2132.0,16,No payload found for the flow
192.168.230.4-192.168.231.254-3888-53-17,2022/01/21 07:12:51,192.168.230.4,192.168.231.254,3888,53,UDP,DNS,27531,150.0,0,2,0.0,150.0,2,No payload found for the flow
192.168.230.4-78.47.204.111-47748-443-6,2022/01/21 07:12:51,78.47.204.111,192.168.230.4,443,47748,TCP,HTTPS,43,24.0,1,1,0.0,24.0,2,No payload found for the flow
192.168.230.4-192.168.231.254-61760-53-17,2022/01/21 07:12:57,192.168.230.4,192.168.231.254,61760,53,UDP,DNS,4420,456.0,0,2,0.0,456.0,2,No payload found for the flow
192.168.230.4-192.168.231.254-9135-53-17,2022/01/21 07:13:20,192.168.230.4,192.168.231.254,9135,53,UDP,DNS,2900,456.0,0,2,0.0,456.0,2,No payload found for the flow
192.168.230.4-192.168.231.254-1410-53-17,2022/01/21 07:13:37,192.168.230.4,192.168.231.254,1410,53,UDP,DNS,4596,456.0,0,2,0.0,456.0,2,No payload found for the flow
192.168.230.165-192.168.230.4-46011-1194-17,2022/01/21 07:13:54,192.168.230.165,192.168.230.4,46011,1194,UDP,OpenVPN,114854432,1832.0,12,13,896.0,936.0,25,No payload found for the flow
8.0.6.4-8.6.0.1-0-0-0,2022/01/21 07:13:57,8.6.0.1,8.0.6.4,0,0,HOPOPT,Non-Application,114095117,0.0,39,1,0.0,0.0,40,No payload found for the flow
192.168.230.4-192.168.231.254-28079-53-17,2022/01/21 07:14:00,192.168.230.4,192.168.231.254,28079,53,UDP,DNS,11505,456.0,0,2,0.0,456.0,2,No payload found for the flow
192.168.230.4-192.168.230.95-1194-60795-17,2022/01/21 07:14:00,192.168.230.4,192.168.230.95,1194,60795,UDP,OpenVPN,118215664,2128.0,15,13,1144.0,984.0,28,No payload found for the flow
192.168.231.164-192.168.231.68-443-41576-6,2022/01/21 07:14:10,192.168.231.68,192.168.231.164,41576,443,TCP,HTTPS,2242,517.0,2,1,517.0,0.0,3,No payload found for the flow
192.168.230.4-192.168.231.254-63162-53-17,2022/01/21 07:14:19,192.168.230.4,192.168.231.254,63162,53,UDP,DNS,3489,456.0,0,2,0.0,456.0,2,No payload found for the flow
192.168.230.4-192.168.231.254-47824-53-17,2022/01/21 07:14:41,192.168.230.4,192.168.231.254,47824,53,UDP,DNS,5838,456.0,0,2,0.0,456.0,2,No payload found for the flow
192.168.230.4-192.168.231.254-35048-53-17,2022/01/21 07:14:59,192.168.230.4,192.168.231.254,35048,53,UDP,DNS,2988,456.0,0,2,0.0,456.0,2,No payload found for the flow
192.168.230.4-192.168.231.254-25758-53-17,2022/01/21 07:15:15,192.168.230.4,192.168.231.254,25758,53,UDP,DNS,3325,456.0,0,2,0.0,456.0,2,No payload found for the flow
192.168.230.4-192.168.231.254-57594-53-17,2022/01/21 07:15:29,192.168.230.4,192.168.231.254,57594,53,UDP,DNS,70024,146.0,0,2,0.0,146.0,2,No payload found for the flow
192.168.230.4-192.168.231.254-64710-53-17,2022/01/21 07:15:29,192.168.230.4,192.168.231.254,64710,53,UDP,DNS,47798,212.0,0,2,0.0,212.0,2,No payload found for the flow
192.168.230.4-192.168.231.254-42208-53-17,2022/01/21 07:15:29,192.168.230.4,192.168.231.254,42208,53,UDP,DNS,20317,141.0,0,2,0.0,141.0,2,No payload found for the flow
192.168.230.4-192.168.231.254-43014-53-17,2022/01/21 07:15:29,192.168.230.4,192.168.231.254,43014,53,UDP,DNS,46114,141.0,0,2,0.0,141.0,2,No payload found for the flow
192.168.230.4-192.168.231.254-18234-53-17,2022/01/21 07:15:29,192.168.230.4,192.168.231.254,18234,53,UDP,DNS,91718,193.0,0,2,0.0,193.0,2,No payload found for the flow
192.168.230.4-192.168.231.254-38292-53-17,2022/01/21 07:15:29,192.168.230.4,192.168.231.254,38292,53,UDP,DNS,19616,166.0,0,2,0.0,166.0,2,No payload found for the flow
192.168.230.4-192.168.231.254-29089-53-17,2022/01/21 07:15:29,192.168.230.4,192.168.231.254,29089,53,UDP,DNS,45380,96.0,0,2,0.0,96.0,2,No payload found for the flow
192.168.230.4-23.47.212.196-38676-443-6,2022/01/21 07:15:29,192.168.230.4,23.47.212.196,38676,443,TCP,HTTPS,23266493,58321.0,48,65,3353.0,54968.0,113,No payload found for the flow
192.168.230.4-192.168.231.254-27140-53-17,2022/01/21 07:15:29,192.168.230.4,192.168.231.254,27140,53,UDP,DNS,297884,179.0,0,2,0.0,179.0,2,No payload found for the flow
192.168.230.4-192.168.231.254-19524-53-17,2022/01/21 07:15:29,192.168.230.4,192.168.231.254,19524,53,UDP,DNS,19961,254.0,0,2,0.0,254.0,2,No payload found for the flow
192.168.230.4-192.168.231.254-29361-53-17,2022/01/21 07:15:29,192.168.230.4,192.168.231.254,29361,53,UDP,DNS,35936,96.0,0,2,0.0,96.0,2,No payload found for the flow
192.168.230.4-192.168.231.254-19804-53-17,2022/01/21 07:15:29,192.168.230.4,192.168.231.254,19804,53,UDP,DNS,46187,96.0,0,2,0.0,96.0,2,No payload found for the flow
192.168.230.4-23.47.212.196-38678-443-6,2022/01/21 07:15:30,192.168.230.4,23.47.212.196,38678,443,TCP,HTTPS,22914502,160002.0,110,130,2732.0,157270.0,240,No payload found for the flow
192.168.230.4-192.168.231.254-40161-53-17,2022/01/21 07:15:30,192.168.230.4,192.168.231.254,40161,53,UDP,DNS,2483,456.0,0,2,0.0,456.0,2,No payload found for the flow
192.168.230.4-23.47.212.207-50488-443-6,2022/01/21 07:15:30,192.168.230.4,23.47.212.207,50488,443,TCP,HTTPS,67299140,388648.0,278,369,16053.0,372595.0,647,No payload found for the flow
192.168.230.4-211.216.46.13-46662-443-6,2022/01/21 07:15:30,192.168.230.4,211.216.46.13,46662,443,TCP,HTTPS,899230,1177.0,5,6,893.0,284.0,11,No payload found for the flow
192.168.230.4-23.47.212.207-50484-443-6,2022/01/21 07:15:30,192.168.230.4,23.47.212.207,50484,443,TCP,HTTPS,20086524,3090.0,14,23,1833.0,1257.0,37,No payload found for the flow
192.168.230.4-211.216.46.13-46658-443-6,2022/01/21 07:15:30,192.168.230.4,211.216.46.13,46658,443,TCP,HTTPS,119010150,44250.0,26,39,1321.0,42929.0,65,No payload found for the flow
192.168.230.4-192.168.231.254-16387-53-17,2022/01/21 07:15:31,192.168.230.4,192.168.231.254,16387,53,UDP,DNS,20058,130.0,0,2,0.0,130.0,2,No payload found for the flow
192.168.230.4-192.168.231.254-17230-53-17,2022/01/21 07:15:31,192.168.230.4,192.168.231.254,17230,53,UDP,DNS,301404,116.0,0,2,0.0,116.0,2,No payload found for the flow
192.168.230.4-192.168.231.254-31140-53-17,2022/01/21 07:15:31,192.168.230.4,192.168.231.254,31140,53,UDP,DNS,78341,184.0,0,2,0.0,184.0,2,No payload found for the flow
192.168.230.4-192.168.231.254-15060-53-17,2022/01/21 07:15:31,192.168.230.4,192.168.231.254,15060,53,UDP,DNS,80468,154.0,0,2,0.0,154.0,2,No payload found for the flow
192.168.230.4-192.168.231.254-55051-53-17,2022/01/21 07:15:31,192.168.230.4,192.168.231.254,55051,53,UDP,DNS,395406,190.0,0,2,0.0,190.0,2,No payload found for the flow
192.168.230.4-192.168.231.254-25270-53-17,2022/01/21 07:15:31,192.168.230.4,192.168.231.254,25270,53,UDP,DNS,51580,201.0,0,2,0.0,201.0,2,No payload found for the flow
192.168.230.4-203.104.163.21-46918-443-6,2022/01/21 07:15:31,192.168.230.4,203.104.163.21,46918,443,TCP,HTTPS,117822515,5235.0,12,14,1667.0,3568.0,26,No payload found for the flow
192.168.230.4-192.168.231.254-40917-53-17,2022/01/21 07:15:31,192.168.230.4,192.168.231.254,40917,53,UDP,DNS,682464,170.0,0,2,0.0,170.0,2,No payload found for the flow
192.168.230.4-192.168.231.254-33033-53-17,2022/01/21 07:15:31,192.168.230.4,192.168.231.254,33033,53,UDP,DNS,51231,137.0,0,2,0.0,137.0,2,No payload found for the flow
192.168.230.4-110.234.246.33-55462-443-6,2022/01/21 07:15:31,192.168.230.4,110.234.246.33,55462,443,TCP,HTTPS,118001453,11372.0,18,17,1781.0,9591.0,35,No payload found for the flow
